v_cond, z_cond
-5.479553611074248348e-02,-1.835247317249889820e-02
-2.185661369860236042e-02,-1.077033704761371988e-02
6.588297736977742625e-03,-2.024962287707588252e-02
-2.531976384035761196e-02,-1.624402482256726357e-02
-2.625557588129342340e-02,-1.310569563398178948e-02
-9.176995613494443038e-03,-1.181656835857160248e-02
-1.274852824651323199e-02,-8.316605224334701991e-04
-2.946903047389460434e-02,-1.040560339515257844e-02
-3.243295100568861777e-02,1.719176183222252685e-03
-5.388134213140261669e-02,-4.399906648030579154e-03
-4.356895401845670840e-02,-7.118034807937949696e-04
-1.837064181802171986e-02,-1.360332325029574643e-02
-2.948346513009709319e-02,-9.793126738199127782e-03
-3.537175011835173855e-02,-1.332438724124397275e-02
-9.491086507637604835e-03,-8.608328142251851084e-03
-2.810272444895401886e-02,-9.467955861462096223e-03
-2.247846153912838943e-02,2.256416553347287066e-03
-3.215948470966013134e-02,-8.885390591195085896e-04
-3.291219390528904443e-02,-7.255264707106258947e-03
-2.077486209605037756e-02,-8.808410059161341649e-03
-3.548289295721693271e-02,-1.127108481436136372e-02
-3.111206675987280082e-02,-1.548571078643849394e-02
-2.818779545033519782e-02,-1.463398957667780276e-02
-4.862270511208856283e-02,-1.248848879434141801e-02
-6.068523334156918081e-02,-6.785648155458712770e-03
-2.172953213083250387e-02,-8.800685447648193618e-03
-5.154814606131379040e-02,-1.406385322119240583e-05
-3.011301988564259180e-02,-4.412712463133435306e-03
-5.280031124759586303e-02,-1.877248601081669271e-02
-2.259828773706103189e-02,-9.359150811466300512e-03
-3.832765905254006955e-02,-5.325792877388135435e-03
-3.277230633273466032e-02,-6.541279579566379801e-03
-2.162445333738313019e-02,-1.002610976128867105e-02
-9.437218811539294788e-03,-1.160356576882188434e-02
-2.271674296566622217e-02,-8.169428266383713111e-03
-4.965609581550026880e-02,-1.173523279636137697e-03
-4.204324059936620506e-02,-1.179883318720427628e-02
-2.149544724440989943e-02,-1.979636019674594141e-02
8.114265924435423022e-03,-2.396989598855199868e-02
-1.092016036749769020e-02,-1.522686831902457343e-02
-5.250737513926471978e-02,-2.013880284010750865e-02
-2.336445469300885494e-02,-1.123616869165136936e-02
-1.847931382199765465e-02,-1.643003306304117311e-02
-5.877559417644786371e-02,-1.563324669273476880e-02
-4.679218829332176116e-02,-9.401256691597236273e-03
-5.964336310803656366e-02,-7.075827637206808830e-03
-1.843330839356187301e-02,-1.918824907841841509e-02
-1.590045689534410819e-02,-1.566210008615728094e-02
-1.736529007597657770e-02,-9.780879044779824949e-03
-2.519949931606401891e-02,-5.631907532586544543e-03
-5.631640932517984616e-02,-8.587739281390028082e-03
-1.833756455913993638e-02,-8.938725232526671324e-03
-9.827517472463255174e-03,-8.848705186498129552e-03
4.433457094810567406e-04,-1.793826317784230975e-02
-4.130355570842467183e-02,-1.624616740102926074e-02
-1.377378783776107233e-03,-1.856868206248621020e-02
-2.534361843794377678e-02,-5.532544260853177950e-03
-5.865710833254316608e-02,-1.058042136643680756e-02
