v_cond, z_cond
-5.567691183786305231e-02,-1.798565282539758142e-02
-3.576476254442255420e-02,-1.295160439524476598e-02
-6.588663739468265945e-02,-1.593459520118105724e-02
-8.074056551596811571e-02,-1.331118386725954617e-02
2.061587009835058257e-03,-2.108611040479635435e-02
-5.934844974368862214e-02,-9.984899550176055960e-03
-1.312150036823248218e-02,-1.471464404954432245e-02
-2.165425314973225268e-02,-1.462182243571778957e-02
-8.065429666755317972e-02,-7.352741540964391649e-03
-2.161652544896171257e-02,-1.483659422740404160e-02
-1.519480213520840381e-02,-1.103975227753782248e-02
-1.752566961056154990e-02,-5.684818802990012493e-03
-4.722607625949210713e-02,-5.972740076821264447e-03
-1.468947124269350327e-02,-1.317548523795089056e-02
-5.388307898829283737e-02,-1.415548386808290933e-02
-1.171390424589339660e-02,-1.359552967556376842e-02
-4.100845268630703977e-02,-1.644925989894115148e-02
-7.158996978971129965e-02,-9.871155059200772269e-03
-5.224117032957113077e-02,-9.372365404031636829e-03
-7.487280282532177145e-03,-1.148748189658742314e-02
-4.392197596628101552e-02,-1.521209227259259777e-02
-5.702612194783042432e-02,-1.389979341449559466e-02
-6.274548357850479041e-02,-1.332098698268809230e-02
