,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.21.0,2.0151892023508045,0.06980629774093454,1.8831656883371475,1.9674507315276304,2.0132174845176833,2.0611752165336763,2.1582078375333715,0.00036115836376835614
a_subj.22.0,2.0185416562619056,0.08366695312766412,1.8692874514939102,1.9591361328996098,2.013193288180384,2.0734495382001112,2.1944904904385636,0.0005461030106559265
a_subj.23.0,2.0274191724582793,0.07391619158097627,1.8895546733302768,1.976398712869897,2.0250908819071656,2.076110233471514,2.178200329046766,0.00035448957825257764
a_subj.24.0,1.9295275240407523,0.0703506648228647,1.7978647235190994,1.880499271373563,1.9274229691002538,1.976000947263379,2.0727780447364164,0.0003685514205583006
a_subj.25.0,1.7458940008865342,0.0609508483769747,1.6302506641043482,1.7041856452369109,1.7445925090056895,1.7864929719663096,1.86842206824213,0.0002954285250834959
a_subj.26.0,1.6920934841409903,0.05911032642330204,1.581384788648878,1.6514868710438868,1.69039364370249,1.7310276028389353,1.8133377866272482,0.00029725391981594296
a_subj.27.0,2.239450391493369,0.07829596411895863,2.0907175639536297,2.185818254711659,2.2376537057858714,2.290822281107793,2.398255141310896,0.00034538264060354334
a_subj.28.0,1.752361816865287,0.06562569982360646,1.6293715488961247,1.7068235822402056,1.750330458645297,1.7955933075466224,1.8856619337739284,0.000308173777462238
a_subj.29.0,1.7700976858054331,0.06785113349803114,1.6419091911115928,1.7230971902114534,1.7684559529135233,1.8155727613644057,1.9074631232440478,0.0003876644578831397
a_subj.30.0,1.4822373711199177,0.05369109011369778,1.382022626628204,1.445161276383024,1.4809021023941642,1.5176736342213664,1.5911235475706473,0.00023594926209827941
a_subj.31.0,2.048311927551188,0.07251302694962104,1.911684861953853,1.9984470887364076,2.046022302082574,2.095824302749318,2.1966824535921754,0.00031108152088988515
a_subj.32.0,1.8318378791287673,0.062105468234269066,1.7143796626275583,1.7890613697058062,1.8302120926921608,1.8727927073275694,1.9577150280549218,0.0002911683582512432
a_subj.33.0,1.853732715464327,0.06755374197718564,1.7273240723180052,1.807203415040329,1.8518395080362782,1.8979794740742737,1.9917283775526895,0.00031055441951143915
