Parameter,Rhat
t_subj.10.0,1.000023746976628
t_subj.11.0,1.000005392118453
t_subj.12.0,1.0000390666143273
t_subj.13.0,1.0000451833600326
t_subj.14.0,1.0000237120234898
t_subj.15.0,0.9999804545637688
t_subj.16.0,1.0001360653238154
t_subj.17.0,1.0000091747180226
t_subj.18.0,1.0000474577157392
t_subj.20.0,1.0000086543575828
t_subj.21.0,0.9999660941283964
t_subj.22.0,1.0002451238471142
t_subj.23.0,0.9999846461076525
t_subj.24.0,1.0000764843528052
t_subj.25.0,1.0000610712764546
t_subj.26.0,0.9999954863261149
t_subj.27.0,1.0000053398853308
t_subj.28.0,1.000034049989326
t_subj.29.0,1.0000874891790714
t_subj.30.0,0.9999901937262005
t_subj.31.0,0.9999830642900494
t_subj.32.0,0.9999683157969131
t_subj.33.0,1.0002332066238317
t_subj.34.0,1.0028600101679204
t_subj.35.0,0.9999709772085067
t_subj.36.0,0.9999837338545461
t_subj.37.0,1.0000005132520755
t_subj.38.0,0.9999973552314652
t_subj.39.0,1.0000528200982797
t_subj.40.0,1.0000187937873115
t_subj.41.0,0.999995255528924
t_subj.42.0,1.0000525061632068
t_subj.43.0,1.0000126157171298
t_subj.44.0,0.9999724111134013
t_subj.45.0,1.0000339182878244
t_subj.46.0,1.000023898694023
t_subj.47.0,1.000034378127867
t_subj.48.0,1.0001387979987597
t_subj.49.0,1.0000750196086199
p_outlier,1.0003506092291075
v_Intercept,1.0000303143273954
v_Intercept_std,0.9999713600362278
v_Intercept_subj.1.0,1.0000918107422645
v_Intercept_subj.2.0,1.0000576607860436
v_Intercept_subj.3.0,0.999985929845945
v_Intercept_subj.4.0,0.9999850112365795
v_Intercept_subj.5.0,0.9999673768606402
v_Intercept_subj.6.0,1.0000024738976834
v_Intercept_subj.7.0,1.000001458390531
v_Intercept_subj.8.0,0.9999821324503144
v_Intercept_subj.9.0,0.9999785619383317
v_Intercept_subj.10.0,1.0000411901192066
v_Intercept_subj.11.0,1.000012074183273
v_Intercept_subj.12.0,1.0000059545714601
v_Intercept_subj.13.0,0.99998925265877
v_Intercept_subj.14.0,0.9999960919034904
v_Intercept_subj.15.0,1.0000615568641573
v_Intercept_subj.16.0,0.9999714950516116
v_Intercept_subj.17.0,1.000004171922778
v_Intercept_subj.18.0,0.9999632504946103
v_Intercept_subj.20.0,0.9999930697936443
v_Intercept_subj.21.0,0.9999751015884284
v_Intercept_subj.22.0,0.9999723745322515
v_Intercept_subj.23.0,1.0000435566655381
v_Intercept_subj.24.0,1.0000154118731879
v_Intercept_subj.25.0,1.0001090377229749
v_Intercept_subj.26.0,1.00003222103322
v_Intercept_subj.27.0,1.0000527153012089
v_Intercept_subj.28.0,1.0000875070475987
v_Intercept_subj.29.0,1.000073222233468
v_Intercept_subj.30.0,1.0000169165144621
v_Intercept_subj.31.0,0.999968562763242
v_Intercept_subj.32.0,0.9999826876779653
v_Intercept_subj.33.0,1.0000105773186223
v_Intercept_subj.34.0,0.9999801478951196
v_Intercept_subj.35.0,0.9999849116447883
v_Intercept_subj.36.0,1.000036339226629
v_Intercept_subj.37.0,1.0000096953406408
v_Intercept_subj.38.0,1.0000653187309432
v_Intercept_subj.39.0,1.0000550940487105
v_Intercept_subj.40.0,1.0000759559160053
v_Intercept_subj.41.0,1.0000683558169146
v_Intercept_subj.42.0,0.9999719486307559
v_Intercept_subj.43.0,1.000019020116866
v_Intercept_subj.44.0,1.0000008777255045
v_Intercept_subj.45.0,1.0000795559259659
v_Intercept_subj.46.0,1.0000944876754807
v_Intercept_subj.47.0,0.9999997408374063
v_Intercept_subj.48.0,0.9999810850188584
v_Intercept_subj.49.0,1.000044735688534
v_stim,1.0000370470304594
v_stim_std,1.000094850432355
v_stim_subj.1.0,1.0000071526770418
v_stim_subj.2.0,1.0000935036070897
v_stim_subj.3.0,0.9999968009432404
v_stim_subj.4.0,0.999986820709387
v_stim_subj.5.0,1.0000101403999684
v_stim_subj.6.0,1.000048546819228
v_stim_subj.7.0,1.0000247602433623
v_stim_subj.8.0,1.000018338757426
v_stim_subj.9.0,1.0001110350648452
v_stim_subj.10.0,0.9999712713359631
v_stim_subj.11.0,1.0000392624530816
v_stim_subj.12.0,0.9999871153154309
v_stim_subj.13.0,0.999995798193967
v_stim_subj.14.0,1.0000097113384954
v_stim_subj.15.0,1.0000219731854978
v_stim_subj.16.0,1.0000917860210765
v_stim_subj.17.0,0.9999697957324969
v_stim_subj.18.0,1.0000099860248375
v_stim_subj.20.0,0.9999715720592337
v_stim_subj.21.0,1.0000249051219392
v_stim_subj.22.0,0.9999735563595188
v_stim_subj.23.0,1.0000031372118665
v_stim_subj.24.0,0.9999700755700907
v_stim_subj.25.0,1.0000416133685268
v_stim_subj.26.0,1.0000011442650878
v_stim_subj.27.0,0.9999717769598881
v_stim_subj.28.0,1.0000339196930594
v_stim_subj.29.0,1.000108892374101
v_stim_subj.30.0,1.0001024546564976
v_stim_subj.31.0,1.0000124568876407
v_stim_subj.32.0,1.0000862925639544
v_stim_subj.33.0,0.9999968566502475
v_stim_subj.34.0,1.0003160700508253
v_stim_subj.35.0,0.9999747187492004
v_stim_subj.36.0,0.9999923283297747
v_stim_subj.37.0,0.999992547375854
v_stim_subj.38.0,0.9999666681690876
v_stim_subj.39.0,0.9999924409903191
v_stim_subj.40.0,0.9999840010436564
v_stim_subj.41.0,1.0000796623624189
v_stim_subj.42.0,1.0001261115970506
v_stim_subj.43.0,0.9999862891163703
v_stim_subj.44.0,1.0001028429085277
v_stim_subj.45.0,1.0000584192013628
v_stim_subj.46.0,1.0000512828401213
v_stim_subj.47.0,0.9999848321916428
v_stim_subj.48.0,0.9999776201605236
v_stim_subj.49.0,0.9999800956937773
v_condition,0.9999822890963547
v_condition_std,1.000104240166315
v_condition_subj.1.0,0.9999853293350899
v_condition_subj.2.0,1.000024314377009
v_condition_subj.3.0,0.9999718709380027
v_condition_subj.4.0,0.9999740864757668
v_condition_subj.5.0,0.9999928593239046
v_condition_subj.6.0,0.9999895433721455
v_condition_subj.7.0,1.0000004469596808
v_condition_subj.8.0,1.0000195114787258
v_condition_subj.9.0,0.9999721775334104
v_condition_subj.10.0,1.0000235258453836
v_condition_subj.11.0,1.0000358326070258
v_condition_subj.12.0,0.9999758109919343
v_condition_subj.13.0,0.999982921410992
v_condition_subj.14.0,0.9999736249333503
v_condition_subj.15.0,1.0000251714073303
v_condition_subj.16.0,1.0000192311537868
v_condition_subj.17.0,0.9999800066332453
v_condition_subj.18.0,0.9999793376295099
v_condition_subj.20.0,0.9999756764267964
v_condition_subj.21.0,0.999984236716181
v_condition_subj.22.0,1.0000331701151035
v_condition_subj.23.0,0.9999891419689391
v_condition_subj.24.0,1.0001009116533284
v_condition_subj.25.0,0.999974500716618
v_condition_subj.26.0,0.9999779161502698
v_condition_subj.27.0,1.0000626081636592
v_condition_subj.28.0,0.9999833200042445
