,mean,std,2.5q,25q,50q,75q,97.5q,mc err,,
t_subj.36.0,0.540288547,0.011694331,0.516362417,0.533155156,0.540816176,0.54773851,0.560850156,5.71E-05,,
t_subj.37.0,0.589034639,0.017678847,0.550478602,0.578072496,0.59042037,0.601451178,0.619605557,9.21E-05,,
t_subj.38.0,0.540883729,0.010332976,0.518625108,0.534368892,0.541681372,0.548200123,0.558807225,5.00E-05,,
t_subj.39.0,0.650994678,0.014594064,0.619571837,0.641870308,0.652050543,0.661245386,0.676442735,6.75E-05,,
t_subj.40.0,0.459823099,0.016433991,0.425005844,0.449352406,0.460725686,0.471333313,0.489352632,8.68E-05,,
t_subj.41.0,0.477552701,0.014301803,0.450354174,0.468475125,0.476894938,0.485675249,0.509507656,6.88E-05,,
t_subj.42.0,0.543063557,0.019909747,0.49434797,0.533848884,0.546939851,0.556824954,0.572467837,0.000111282,,
t_subj.43.0,0.540147012,0.012997101,0.512408626,0.531862943,0.541084587,0.54937737,0.56281529,5.82E-05,,
t_subj.44.0,0.49444101,0.01282943,0.466915359,0.486310701,0.495329452,0.503439439,0.517059431,5.63E-05,,
t_subj.45.0,0.462464244,0.013858521,0.433159717,0.453653293,0.463367182,0.472036792,0.487289163,6.45E-05,,
t_subj.46.0,0.441125708,0.009990249,0.419334733,0.434963906,0.441981563,0.44818321,0.458120922,5.72E-05,,
t_subj.47.0,0.537833522,0.011745804,0.512819618,0.530531134,0.538502397,0.545860554,0.558939324,5.62E-05,,
t_subj.48.0,0.485748454,0.016545486,0.458333929,0.472468865,0.482145131,0.500748256,0.514724187,0.000106613,,
t_subj.49.0,0.463542173,0.010737921,0.440420651,0.456804377,0.46424962,0.471094826,0.482447293,5.74E-05,,
p_outlier,0.005207084,0.001185428,0.003071995,0.004377824,0.005139495,0.005961052,0.007712375,8.67E-06,,
v_Intercept,0.073790718,0.054705872,-0.035218599,0.037754286,0.073974698,0.110109251,0.181057101,0.000271754,,
v_Intercept_std,0.360714865,0.043352728,0.286481792,0.330143364,0.35712991,0.387676508,0.454825315,0.000205926,,
v_Intercept_subj.1.0,-0.152317886,0.107778225,-0.363210157,-0.224387179,-0.152010955,-0.079755962,0.060225333,0.000510467,,
v_Intercept_subj.2.0,0.130085389,0.086392783,-0.040102481,0.072088694,0.130289333,0.188591452,0.299047685,0.000364927,,
v_Intercept_subj.3.0,-0.080919378,0.08792859,-0.252622315,-0.139859075,-0.081383867,-0.021799767,0.091642723,0.000399194,,
v_Intercept_subj.4.0,0.220605493,0.149810822,-0.071435638,0.119435786,0.219834476,0.321170481,0.515844751,0.000677145,,
v_Intercept_subj.5.0,-0.176758583,0.114691496,-0.401784612,-0.254183959,-0.176067662,-0.09920936,0.047049151,0.000540133,,
v_Intercept_subj.6.0,1.077684116,0.131797709,0.821302347,0.988544601,1.077088494,1.16623468,1.336992956,0.000693967,,
v_Intercept_subj.7.0,0.010786721,0.094672622,-0.1741306,-0.052894529,0.010238703,0.074357626,0.197364098,0.000442859,,
v_Intercept_subj.8.0,0.172848537,0.107443758,-0.038036358,0.100309736,0.173110682,0.245314794,0.383123019,0.000459399,,
v_Intercept_subj.9.0,0.296069983,0.094128296,0.113289514,0.232160336,0.29614777,0.359871655,0.480830706,0.000414006,,
v_Intercept_subj.10.0,0.235156435,0.08116094,0.077231269,0.180225266,0.234814079,0.290307705,0.394354502,0.00036583,,
v_Intercept_subj.11.0,0.43111347,0.095938885,0.242358764,0.366254955,0.431516556,0.49609942,0.617642657,0.000498619,,
