,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_subj.21.0,0.49767915984461986,0.016254074557313924,0.4652603690741321,0.4872545214185732,0.4977382281795842,0.5080905740481746,0.530727334325813,7.429514759619448e-05
t_subj.22.0,0.46502102764030895,0.035215856364106624,0.39336003968491773,0.4388428570014997,0.479097945281905,0.4918003863012512,0.5075568254137338,0.0003089365966926133
t_subj.23.0,0.6653465404400671,0.015272855989412597,0.6322167752806228,0.6558373802315266,0.666518610019499,0.6761689778541318,0.691824126325746,7.609580007647768e-05
t_subj.24.0,0.5475596046784674,0.01480522360760999,0.5155245595988657,0.5382113469589438,0.5487828988517833,0.5580449359149996,0.5731763968598714,7.940652331297918e-05
t_subj.25.0,0.49724273849301875,0.014799347716494443,0.4703131990628538,0.48768525687894027,0.4960914911731983,0.5052914909194635,0.5298644830622232,6.588371734579457e-05
t_subj.26.0,0.5887983691425961,0.011556778069507338,0.5639387094315593,0.5815373082633291,0.5896376510098169,0.5969518662140124,0.6091702922409312,5.467975706490494e-05
t_subj.27.0,0.5074219376622878,0.018782630161611004,0.4672691794517322,0.49548313728342835,0.5086432570900958,0.520725200736467,0.5405387182174883,9.769699661191754e-05
t_subj.28.0,0.5042781595226035,0.011664388280932391,0.4791597574877143,0.49692255396618823,0.5050976379397883,0.5124796715891086,0.5247361864751279,5.782741027442308e-05
t_subj.29.0,0.5168183216891236,0.017481314898057584,0.47266857004327256,0.5105002600421071,0.5209005707413572,0.5286480393164388,0.5405743537038182,0.00010442242071929891
t_subj.30.0,0.4862208788417416,0.007830855131919588,0.4689859642281448,0.48140774000680114,0.48690164285259546,0.4917217955484951,0.4996372080345745,4.132858905808536e-05
t_subj.31.0,0.521519337023836,0.014825194776731145,0.489992513027192,0.5122936890932542,0.5224300538543312,0.5316433872919599,0.5477821632161903,6.32245117280145e-05
t_subj.32.0,0.4856371408382729,0.011760051696198372,0.46120967510828265,0.4783902850909134,0.48617742905865824,0.49330141760781454,0.5069615510651554,5.1957627352924334e-05
t_subj.33.0,0.5511762883416745,0.012650420592742899,0.5242067915168585,0.543220503430443,0.5519447143326688,0.5599933358768097,0.5737163246778978,6.060612793157588e-05
t_subj.34.0,0.5576156956207535,0.04325712855957444,0.4582133260538581,0.5508144044382884,0.5679122580079112,0.5850236132395742,0.6136098894256757,0.0007767172754698907
t_subj.35.0,0.4948558446709123,0.011001262863281592,0.4710932078782999,0.48801544049616363,0.4956363386043081,0.5025442519543474,0.5141805029632379,4.653026611918685e-05
t_subj.36.0,0.5403324281429591,0.01179389176525015,0.5164235231682699,0.5331513628683617,0.5407634761255146,0.5477953563868453,0.5610019887829902,6.314842769630262e-05
t_subj.37.0,0.5898690873950219,0.017585877722369015,0.5516302855610528,0.5788562688359938,0.5912118702807299,0.6023259780267058,0.6202782619648497,8.522147603562959e-05
t_subj.38.0,0.555497573397379,0.008592974539468686,0.5366289868343355,0.5502866279956928,0.5562245269830659,0.5615206977750217,0.5700917086093004,4.141695529446975e-05
t_subj.39.0,0.6543484107241946,0.014634422889794208,0.622399693549474,0.6451963261290634,0.6554536795562155,0.6647969775667051,0.6795726748889714,7.317743741097579e-05
t_subj.40.0,0.46543207976179135,0.01620331818726981,0.4308963962474282,0.4551618641039033,0.46639837055196004,0.47676770370471994,0.494183679111849,7.611776507169754e-05
t_subj.41.0,0.47805653856227764,0.014491747968623908,0.4508607284673364,0.4687705853956246,0.4772839232938239,0.48619601399889834,0.5103282871769759,7.640488004432022e-05
t_subj.42.0,0.5470635719522355,0.01751840344448936,0.5018012919761976,0.5385385841193365,0.5496403340829774,0.5590602312897297,0.5736284642529043,8.482768609815728e-05
t_subj.43.0,0.5405736529492827,0.013059628487764941,0.5125761918249072,0.5323027932099423,0.5415328223588964,0.5498404616025074,0.5634013221225109,5.807137681943423e-05
t_subj.44.0,0.4966252149736106,0.012826118349353627,0.46925333173966705,0.48850482750860524,0.49746879422604634,0.5057143147061188,0.5192868866646183,6.79003880353729e-05
t_subj.45.0,0.47117298088990167,0.012718232341192414,0.4437254721714256,0.46315911988971237,0.4720949941375926,0.48015001508537003,0.49351123573635247,6.52440243241297e-05
t_subj.46.0,0.4408878000152885,0.009973016219592628,0.4189471402012151,0.4347802177034649,0.4417137252396914,0.44796413001106133,0.45792225974823386,4.756848139144075e-05
t_subj.47.0,0.5401320282158948,0.01153997690897126,0.5152892556277505,0.5329073819767725,0.5408509243060136,0.5481674901428842,0.5606185739622902,5.654978016451729e-05
t_subj.48.0,0.48331023729556344,0.014633201954097471,0.4601989730756967,0.47297745543371744,0.4797351007224503,0.4949654323900161,0.5127321211021969,9.551296069262466e-05
t_subj.49.0,0.46913420930908567,0.010491056533674619,0.4467163027606596,0.4624882208030224,0.46987718722025285,0.47656776755703206,0.48766950656616315,5.041553484069293e-05
p_outlier,0.005286186808498375,0.0011527542959727402,0.003215392025695915,0.0044746866564806505,0.005220645432661805,0.006024000659425986,0.007725411582821353,7.592035260442931e-06
v_Intercept,0.0720951641793191,0.054843321383094466,-0.03577601646414359,0.03605783129210083,0.07231706454788737,0.1083915040559194,0.17929493924205975,0.0002666553741084651
v_Intercept_std,0.35943172608772095,0.04306259294598523,0.28470632415711056,0.3292995712236272,0.35590508833385937,0.38585989662924425,0.4537261466232755,0.00020428072999179058
v_Intercept_subj.1.0,-0.1553928843651375,0.1077875023020768,-0.36516383530514823,-0.22783440625226437,-0.15632798467497425,-0.08298897716305156,0.0567191173379229,0.0005109272642377273
v_Intercept_subj.2.0,0.12666620483322538,0.08606580200570454,-0.042731603264482027,0.0682770436516312,0.12692940844928008,0.18477906021505425,0.2953349727246248,0.00040154501724269827
v_Intercept_subj.3.0,-0.08217021229974576,0.08759582069838014,-0.2544064317498052,-0.14083673676379793,-0.08241467242874082,-0.023071602019926307,0.09024679572350208,0.00044112015808151953
v_Intercept_subj.4.0,0.21878767550044081,0.14844134719744229,-0.07086666349075732,0.11898599844676122,0.21833473027521044,0.3178037950905383,0.511583561163459,0.0006707555834237849
v_Intercept_subj.5.0,-0.17069692852847101,0.11606371457161707,-0.40038539422659,-0.24844720238683363,-0.17096172412704724,-0.09199382168002063,0.057689870214844396,0.0005148243281626072
v_Intercept_subj.6.0,1.0550434097691834,0.13157948729126415,0.7979670513704189,0.9659687097998427,1.0548985977864906,1.144105361257452,1.313658340197461,0.0006813773588793431
v_Intercept_subj.7.0,0.011178748859076949,0.09392745914532394,-0.17233203176841677,-0.051865221559647096,0.010346066602973991,0.07449944845834836,0.1958141486804107,0.0005219915011091664
v_Intercept_subj.8.0,0.17748601144912848,0.10699546234557086,-0.030715354635903025,0.10484631651531526,0.17673049147652214,0.24940451475074193,0.388789718164529,0.0004983249189622178
v_Intercept_subj.9.0,0.2965382223991567,0.0937529872174454,0.11092537456437584,0.23393727052284008,0.29648104143668974,0.359744829076745,0.4806166890531312,0.0004160267568462923
v_Intercept_subj.10.0,0.231593656199379,0.08152524016163695,0.07076403174419929,0.1766759217516527,0.23173681411702973,0.28654509781409865,0.39102809237797964,0.0003868951289371763
v_Intercept_subj.11.0,0.4298479233480234,0.09573028025609821,0.24404342649351232,0.3652214314118997,0.4293296469511514,0.4942907149798881,0.6203164010204607,0.0004787185092685808
v_Intercept_subj.12.0,-0.029345111894898877,0.09264203172373234,-0.21128762375177168,-0.09233782207015143,-0.029274475609938094,0.03397166281833569,0.15164306518354698,0.00040826139561037837
