Parameter,Rhat
t_subj.23.0,1.000088888049898
t_subj.24.0,0.9999643885176348
t_subj.25.0,0.9999812541292576
t_subj.26.0,1.0000186631590817
t_subj.27.0,0.9999951846235252
t_subj.28.0,0.999976484032832
t_subj.29.0,0.9999661614650561
t_subj.30.0,1.0000275492741044
t_subj.31.0,1.0001022897106022
t_subj.32.0,1.0000859126580626
t_subj.33.0,1.0000851721284774
t_subj.34.0,1.000182714574786
t_subj.35.0,1.0000970671201366
t_subj.36.0,1.0000670366682831
t_subj.37.0,0.9999919425991154
t_subj.38.0,0.9999881867169328
t_subj.39.0,1.0002341562759194
t_subj.40.0,0.9999855123376421
t_subj.41.0,1.0000375329839737
t_subj.42.0,1.0000382238582597
t_subj.43.0,1.0000038765097878
t_subj.44.0,0.9999808403827654
t_subj.45.0,1.0000854345575791
t_subj.46.0,1.0000220903182044
t_subj.47.0,1.0002368758916738
t_subj.48.0,1.0000825476286455
t_subj.49.0,1.000017287082262
p_outlier,1.0000678955850504
v_Intercept,1.0000608460403084
v_Intercept_std,1.0001164835714995
v_Intercept_subj.1.0,0.999967196447572
v_Intercept_subj.2.0,1.0000405941555301
v_Intercept_subj.3.0,1.000067698997841
v_Intercept_subj.4.0,0.9999923228115262
v_Intercept_subj.5.0,1.0000413442954204
v_Intercept_subj.6.0,0.9999648973067629
v_Intercept_subj.7.0,1.0000030622648204
v_Intercept_subj.8.0,1.0000577076840038
v_Intercept_subj.9.0,1.0000059189275503
v_Intercept_subj.10.0,0.9999857879947645
v_Intercept_subj.11.0,1.0000228916666376
v_Intercept_subj.12.0,1.0000561635365777
v_Intercept_subj.13.0,1.0000423644098102
v_Intercept_subj.14.0,1.0001763545708575
v_Intercept_subj.15.0,1.0000319068856545
v_Intercept_subj.16.0,1.0000132357234945
v_Intercept_subj.17.0,1.0001342525168306
v_Intercept_subj.18.0,0.9999805455457437
v_Intercept_subj.20.0,0.9999845309594898
v_Intercept_subj.21.0,1.0001051088195458
v_Intercept_subj.22.0,1.0000814891741767
v_Intercept_subj.23.0,1.0000071560799395
v_Intercept_subj.24.0,0.9999985711149867
v_Intercept_subj.25.0,0.9999938322316416
v_Intercept_subj.26.0,1.0000355672015353
v_Intercept_subj.27.0,1.0001062099733158
v_Intercept_subj.28.0,0.9999841612257967
v_Intercept_subj.29.0,1.0000770469570617
v_Intercept_subj.30.0,1.0000648825903893
v_Intercept_subj.31.0,1.0000183341552165
v_Intercept_subj.32.0,0.9999801291374687
v_Intercept_subj.33.0,0.9999802875861182
v_Intercept_subj.34.0,1.0000622366644936
v_Intercept_subj.35.0,0.9999793290999686
v_Intercept_subj.36.0,0.9999978421283054
v_Intercept_subj.37.0,0.999995688554816
v_Intercept_subj.38.0,1.0001578857512046
v_Intercept_subj.39.0,0.9999841391153628
v_Intercept_subj.40.0,0.999968349204193
v_Intercept_subj.41.0,1.0000140459094975
v_Intercept_subj.42.0,0.9999976486020066
v_Intercept_subj.43.0,0.9999710247522654
v_Intercept_subj.44.0,1.0000794850452774
v_Intercept_subj.45.0,0.9999889938147966
v_Intercept_subj.46.0,1.0000174084237954
v_Intercept_subj.47.0,0.9999860652897722
v_Intercept_subj.48.0,0.9999981119393055
v_Intercept_subj.49.0,1.0000547664587898
v_stim,0.9999839158163368
v_stim_std,1.0000964309169218
v_stim_subj.1.0,1.00001522415998
v_stim_subj.2.0,1.0000863726546512
v_stim_subj.3.0,0.999974250281549
v_stim_subj.4.0,1.000028966417363
v_stim_subj.5.0,0.9999987648807015
v_stim_subj.6.0,1.0000485616978603
v_stim_subj.7.0,1.0000024724497316
v_stim_subj.8.0,1.0000137892932544
v_stim_subj.9.0,0.9999733772241457
v_stim_subj.10.0,0.9999871768368743
v_stim_subj.11.0,1.0000013212408392
v_stim_subj.12.0,1.0000810738158388
v_stim_subj.13.0,1.0000221236385816
v_stim_subj.14.0,0.999987364330264
v_stim_subj.15.0,1.0000590155961522
v_stim_subj.16.0,0.9999797027543271
v_stim_subj.17.0,1.0002104105149228
v_stim_subj.18.0,1.0000343056336263
v_stim_subj.20.0,0.9999734198871644
v_stim_subj.21.0,1.0000123136153485
v_stim_subj.22.0,0.9999931440429213
v_stim_subj.23.0,0.999999614579065
v_stim_subj.24.0,1.0000413731140154
v_stim_subj.25.0,1.0000826213276934
v_stim_subj.26.0,0.9999636904731999
v_stim_subj.27.0,1.000010797970795
v_stim_subj.28.0,0.9999771549565585
v_stim_subj.29.0,0.9999719969089924
