,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.156.0,2.1587347975073925,0.0855110124208716,1.9994046973038169,2.09923587313861,2.1556813915888786,2.2148775340790037,2.3342808972194824,0.000396823399772501
a_subj.158.0,1.6132864890977117,0.0668327428819779,1.4880763935085088,1.567136828708538,1.6115174859126569,1.6570633196959819,1.7497100370548186,0.0003200276107444868
a_subj.160.0,1.7924910469275377,0.07934889027863044,1.6389037255055907,1.7382266642710964,1.7921511485611463,1.8455521387093798,1.9491409412292113,0.00048602120220478915
a_subj.161.0,2.1255247544546627,0.11861395345821645,1.9263499165892959,2.039183392800883,2.111550417470418,2.20295490520444,2.3784481866320992,0.0026679123608705684
a_subj.162.0,1.651032579723777,0.06617616184598944,1.5269235533571586,1.605373783601612,1.649057383353365,1.6939493021993393,1.78746305483374,0.0003366460095916129
a_subj.163.0,1.7072848050751996,0.08795535175208492,1.547928913884737,1.6444868336887364,1.7039403929157775,1.7657528385044974,1.888423411655205,0.00052487796814976
a_subj.165.0,1.5663942436591134,0.06646772348020186,1.44472832574592,1.520376964964048,1.563546735405354,1.6093768876014907,1.7052472492628141,0.00033701417314302743
a_subj.166.0,2.0977323198013695,0.08924206838949221,1.9316431082955565,2.035936510444145,2.09518226397697,2.1562819221475396,2.280151696182756,0.000427134510118319
a_subj.168.0,1.6230137613969602,0.06554874555883751,1.500095965689322,1.5780051852572015,1.6211782604877554,1.6658195607325825,1.755666060310362,0.000294703814514589
a_subj.171.0,1.4730435050934083,0.05850248343023185,1.3634115838574732,1.432876997471665,1.4713098729838294,1.51135932257141,1.5925535548263066,0.00024581300802331617
t,0.5098261401849524,0.01191512587288844,0.4868369060842189,0.5017525227550077,0.5096475340277918,0.5176612014919689,0.5336584171874058,7.669398134356233e-05
t_std,0.1146266409364765,0.009238935225447031,0.0983069181253489,0.10814175386777686,0.1139921196141962,0.12038613398149751,0.13442799132696986,6.617618789606292e-05
t_subj.15.0,0.3841004043591508,0.013760813112518214,0.3542928287015552,0.37549983970270834,0.38513789157977013,0.39385907946375576,0.4080963937475872,6.997266454066096e-05
t_subj.20.0,0.4976540217828321,0.01454668691477677,0.4658719923819635,0.48875625940182915,0.49891594408366857,0.507804159452851,0.5226951540437869,7.165733733430869e-05
t_subj.22.0,0.4209443825411269,0.01606070033475749,0.37866195428212324,0.4132327572336499,0.42289164093490467,0.43122938812595196,0.4452700295607404,8.716991947922897e-05
t_subj.23.0,0.484850179414067,0.01489865593223006,0.4526870716492075,0.47568212397421356,0.4858880334900786,0.49493884436438423,0.5112815794589429,7.276496740938369e-05
t_subj.24.0,0.6861664812784558,0.011956892965523247,0.6599950705587129,0.678731899420712,0.6872331075543678,0.6946517731106056,0.7065208099754028,5.540009822415119e-05
t_subj.25.0,0.515721644248796,0.017187631352370517,0.4818484448179815,0.5058621038343147,0.516399380357967,0.5258000510552278,0.5431066216175693,0.00011599562460596839
t_subj.26.0,0.5567808348764127,0.0314974824947134,0.4904428071257531,0.53585199897981,0.5648642068198412,0.5787964896444857,0.6068046427628784,0.0002206005660086081
t_subj.27.0,0.38900593174176623,0.06312744683848721,0.2933134173868776,0.3179088976005819,0.42777240087449736,0.44445978408281267,0.4598642732228019,0.0027118979314921703
t_subj.29.0,0.4852963916832293,0.010279516847899201,0.4624741433087776,0.4790036729863344,0.48624700225611545,0.49258398330278125,0.502710196982506,4.196677184723005e-05
t_subj.30.0,0.43738694682467616,0.010680454326812715,0.413950003517524,0.43074738005795504,0.438252628996221,0.4449668128165925,0.4557075123487329,5.412678293765759e-05
t_subj.31.0,0.49177953705362104,0.018877430171868003,0.4521857496265658,0.47594314102857577,0.4979030762836588,0.5057975880413574,0.5167055073068464,0.00015605132038101367
t_subj.32.0,0.500594093634988,0.013930314761163316,0.4701096078129865,0.492037785470492,0.5017235056654127,0.5104484228851611,0.5245174678918738,6.102256126751684e-05
t_subj.33.0,0.45023757212493987,0.01413422483908339,0.42331695695792193,0.4416524271682645,0.44993033941841376,0.45993628634479145,0.47498478271767614,8.291489291345475e-05
t_subj.34.0,0.4696695147488785,0.028825128733898562,0.42651039807293817,0.44895620946561815,0.46380115906557534,0.4856780573869227,0.543425746156382,0.00019229003426782942
t_subj.35.0,0.567312321116742,0.026434520046527077,0.5154596577276158,0.5445961084876204,0.5740688008282927,0.588939225978314,0.6057855607205543,0.00015382842919888184
t_subj.36.0,0.4971279168929722,0.012090490357740914,0.4705322823093924,0.4896696103767742,0.49814221922336066,0.5057084817272226,0.5178854401556388,6.199248292544913e-05
t_subj.37.0,0.5197257843762377,0.02102235356630347,0.4738394076888944,0.5064998726453181,0.5213211589587238,0.5346108750402644,0.5563151626777514,0.00011587501845099228
t_subj.39.0,0.3888745367292478,0.012141870223460088,0.36252697572303094,0.38121798107547755,0.38974682243202163,0.3974770796952027,0.4099547453430495,6.285320457783043e-05
t_subj.40.0,0.4644558570385418,0.02995687782439316,0.40538346384262813,0.44051563766603336,0.47016033182842565,0.48598438229815893,0.5188838632843362,0.00017751526134858098
t_subj.41.0,0.8697128041146501,0.01671375923458035,0.8336168995140414,0.8603821676316981,0.8713054100405326,0.8810999674142417,0.8969808883129254,9.050476121528818e-05
t_subj.42.0,0.23470913408403735,0.007819916406545467,0.21756890592175074,0.22989951795344746,0.23536713452442215,0.24020985895399682,0.2480922056820422,3.414867633805194e-05
t_subj.43.0,0.5502768837801749,0.009666332188015403,0.5291412216079054,0.5443196739505578,0.5511200760203452,0.557178196224983,0.5667184098568359,4.9685966305599464e-05
t_subj.44.0,0.4213191194519285,0.02601679129137031,0.3830186753340377,0.4026137808146878,0.41331316263560036,0.44472234843794506,0.47138527398471636,0.00022665340247091055
t_subj.45.0,0.5977671374222742,0.01097160652371054,0.5696271658885929,0.5922758900915686,0.5991899710524802,0.6050934216258546,0.6146145314595691,6.125251063145821e-05
t_subj.46.0,0.4942754088522264,0.018154564627376225,0.4549227856562691,0.48300757666092353,0.4956867064007149,0.5070887930949547,0.5257711972181102,9.034055173701331e-05
t_subj.47.0,0.4535639543713368,0.015006783558949256,0.41810822305769757,0.44608333860483546,0.4567433705803736,0.46411035473878837,0.4751374487095129,8.81700763878768e-05
t_subj.49.0,0.8474938801815961,0.018051987500095474,0.8081331244251254,0.8363163097206604,0.8489424014676809,0.8602462023204696,0.8787335499918713,0.00010012219859918568
t_subj.52.0,0.41517234316473184,0.01940955497892197,0.37285873342460435,0.4030751144581568,0.4166503211269517,0.4289018080103097,0.448856138783567,7.938348763732522e-05
